ticker,one_year_price_return,one_year_return_percentile,six_month_price_return,six_month_return_percentile,three_month_price_return,three_month_return_percentile,one_month_price_return,one_month_return_percentile,momentum_score,price-to-earnings_ratio,pe_percentile,price-to-book_ratio,pb_percentile,price-to-sales_ratio,ps_percentile,ev/ebitda,ev/ebitda_percentile,ev/gp,ev/gp_percentile,value_score,stock_price,market_capitalization,number_of_share_to_buy,price,shares_to_buy
TDG,,,,,,,,,,,,,,,,,,,,,664.0,37549207313.0,4.0,,
TDY,,,,,,,,,,,,,,,,,,,,,432.31,15891983912.0,6.0,,
TEL,,,,,,,,,,,,,,,,,,,,,140.0,46991062292.0,20.0,,
TFC,,,,,,,,,,,,,,,,,,,,,58.15,75837425216.0,49.0,,
TFX,,,,,,,,,,,,,,,,,,,,,416.04,19549556118.0,6.0,,
TGT,1.0793000000000001,0.9129,0.38780000000000003,0.8733,0.2271,0.9465,0.0728,0.8693000000000001,90.05,,,,,,,,,,,,249.93,126740211811.0,11.0,256.84,314.0
TIF,,,,,,,,,,,,,,,,,,,,,136.16,16382788607.0,21.0,,
TJX,,,,,,,,,,,,,,,,,,,,,69.98,84849129115.0,41.0,,
TMO,,,,,,,,,,,,,,,,,,,,,521.58,207045246598.0,5.0,,
TMUS,,,,,,,,,,,,,,,,,,,,,149.25,188593423588.0,19.0,,
TPR,,,,,,,,,,,,,,,,,,,,,43.1,12015429442.0,66.0,,
TROW,0.7332,0.7484999999999999,0.3732,0.8534999999999999,0.1761,0.8851,0.0709,0.8573999999999999,83.61,,,,,,,,,,,,204.45,45735919381.0,14.0,209.02,387.0
TRV,,,,,,,,,,13.89,0.23199999999999998,1.39,0.171,1.22,0.127,9.07,0.16399999999999998,1.18,0.036000000000000004,14.6,152.61,39636910159.0,18.0,152.29,15895.0
TSCO,,,,,,,,,,,,,,,,,,,,,192.73,22166304434.0,14.0,,
TSN,,,,,,,,,,12.94,0.20800000000000002,1.71,0.23199999999999998,0.63,0.046,8.24,0.133,6.7,0.37799999999999995,19.9,77.18,27149209993.0,37.0,74.89,32323.0
TT,,,,,,,,,,,,,,,,,,,,,195.55,46772977427.0,14.0,,
TTWO,,,,,,,,,,,,,,,,,,,,,184.19,20838922377.0,15.0,,
TWTR,1.2548000000000001,0.9465,0.2619,0.6812,0.0683,0.5624,0.19269999999999998,0.9921,79.55,,,,,,,,,,,,69.88,56177759371.0,41.0,69.2,1169.0
TXN,,,,,,,,,,,,,,,,,,,,,193.88,182072797334.0,14.0,,
TXT,1.217,0.9386,0.4349,0.9248000000000001,0.2133,0.9327,0.0001,0.5505,83.66,,,,,,,,,,,,71.15,15630281220.0,40.0,71.19,1136.0
TYL,,,,,,,,,,,,,,,,,,,,,483.46,18838786474.0,5.0,,
UA,,,,,,,,,,,,,,,,,,,,,18.62,9076201651.0,154.0,,
UAA,,,,,,,,,,,,,,,,,,,,,21.1,9090860672.0,136.0,,
UAL,,,,,,,,,,,,,,,,,,,,,53.85,17278937844.0,53.0,,
UDR,,,,,,,,,,,,,,,,,,,,,52.06,15463550371.0,55.0,,
UHS,,,,,,,,,,12.97,0.21,2.02,0.294,1.13,0.107,8.19,0.12300000000000001,1.32,0.044000000000000004,15.5,155.2,13099667991.0,18.0,158.43,15279.0
ULTA,,,,,,,,,,,,,,,,,,,,,347.96,19552150550.0,8.0,,
UNH,,,,,,,,,,,,,,,,,,,,,417.06,396882642685.0,6.0,,
UNM,,,,,,,,,,7.77,0.133,0.56,0.087,0.46,0.022000000000000002,3.6,0.048,0.43,0.01,6.0,29.62,6019422713.0,97.0,29.04,83358.0
UNP,,,,,,,,,,,,,,,,,,,,,235.9,153434042688.0,12.0,,
UPS,,,,,,,,,,,,,,,,,,,,,212.89,186070293365.0,13.0,,
URI,,,,,,,,,,,,,,,,,,,,,334.35,23898019752.0,8.0,,
USB,,,,,,,,,,,,,,,,,,,,,57.56,89824516803.0,50.0,,
V,,,,,,,,,,,,,,,,,,,,,244.63,529537932811.0,11.0,,
VAR,,,,,,,,,,,,,,,,,,,,,181.78,16901974121.0,15.0,,
VFC,,,,,,,,,,,,,,,,,,,,,84.34,32949447684.0,34.0,,
VIAC,,,,,,,,,,10.08,0.156,1.5,0.183,1.1,0.105,7.68,0.10300000000000001,1.52,0.053,12.0,45.91,29276711029.0,62.0,45.2,53555.0
VLO,,,,,,,,,,,,,,,,,,,,,81.0,32573075302.0,35.0,,
VMC,,,,,,,,,,,,,,,,,,,,,176.4,22902550224.0,16.0,,
VNO,,,,,,,,,,,,,,,,,,,,,47.5,9247094796.0,60.0,,
VRSK,,,,,,,,,,,,,,,,,,,,,184.17,29218567737.0,15.0,,
VRSN,,,,,,,,,,,,,,,,,,,,,238.1,27249631768.0,12.0,,
VRTX,,,,,,,,,,,,,,,,,,,,,205.0,53873624127.0,14.0,,
VTR,,,,,,,,,,,,,,,,,,,,,59.39,21485238758.0,48.0,,
VZ,,,,,,,,,,,,,,,,,,,,,57.49,235072685610.0,50.0,,
WAB,,,,,,,,,,,,,,,,,,,,,83.04,15861775220.0,34.0,,
WAT,0.9571,0.8673000000000001,0.4362,0.9287000000000001,0.2416,0.9604,0.10550000000000001,0.9228000000000001,91.98,,,,,,,,,,,,367.35,21730655981.0,7.0,359.1,225.0
WBA,,,,,,,,,,19.12,0.33299999999999996,1.96,0.285,0.31,0.013999999999999999,11.52,0.28300000000000003,1.95,0.077,19.8,49.41,42181608510.0,58.0,48.45,49963.0
WDC,,,,,,,,,,,,,,,,,,,,,72.85,22503429377.0,39.0,,
WEC,,,,,,,,,,,,,,,,,,,,,91.75,29123213568.0,31.0,,
WELL,0.6342,0.6673,0.3281,0.804,0.1565,0.8436,0.094,0.9129,80.69,,,,,,,,,,,,88.16,35533542158.0,32.0,89.08,908.0
WFC,,,,,,,,,,,,,,,,,,,,,46.18,187994002869.0,62.0,,
WHR,,,,,,,,,,10.8,0.175,3.3,0.451,0.68,0.048,7.24,0.085,3.94,0.2,19.2,224.01,14074708019.0,12.0,225.26,10746.0
WLTW,,,,,,,,,,,,,,,,,,,,,238.47,30987773987.0,12.0,,
WM,,,,,,,,,,,,,,,,,,,,,144.72,61332623788.0,19.0,,
WMB,,,,,,,,,,,,,,,,,,,,,27.79,32441655633.0,103.0,,
WMT,,,,,,,,,,,,,,,,,,,,,144.08,393196584282.0,20.0,,
WRB,,,,,,,,,,,,,,,,,,,,,77.23,13853652646.0,37.0,,
WRK,,,,,,,,,,-19.6,0.067,1.32,0.154,0.84,0.071,9.18,0.168,7.44,0.43200000000000005,17.9,52.94,14196277731.0,54.0,54.0,44828.0
WST,0.6219,0.6594,0.28300000000000003,0.7248,0.2832,0.9802,0.0676,0.8454999999999999,80.25,,,,,,,,,,,,377.46,27069651064.0,7.0,380.82,212.0
WU,,,,,,,,,,,,,,,,,,,,,24.24,9606522502.0,118.0,,
WY,,,,,,,,,,,,,,,,,,,,,34.68,26232312011.0,83.0,,
WYNN,,,,,,,,,,,,,,,,,,,,,122.2,14736495517.0,23.0,,
XEL,,,,,,,,,,,,,,,,,,,,,69.4,36462279067.0,41.0,,
XLNX,,,,,,,,,,,,,,,,,,,,,142.04,35063766426.0,20.0,,
XOM,0.5831000000000001,0.6139,0.5899,0.9703,0.1233,0.7465,0.046900000000000004,0.7959999999999999,78.17,-14.58,0.075,1.8,0.25,1.5,0.193,14.2,0.41200000000000003,1.79,0.063,19.9,63.69,276071873089.0,45.0,64.83,1247.0
XRAY,,,,,,,,,,,,,,,,,,,,,64.1,14361424788.0,44.0,,
XRX,,,,,,,,,,,,,,,,,,,,,25.36,4661865779.0,113.0,,
XYL,,,,,,,,,,,,,,,,,,,,,121.67,22335326291.0,23.0,,
YUM,,,,,,,,,,,,,,,,,,,,,117.58,35686928114.0,24.0,,
ZBH,,,,,,,,,,,,,,,,,,,,,169.75,35663188582.0,16.0,,
ZBRA,1.1722,0.9248000000000001,0.3883,0.8752,0.0833,0.6059,0.06,0.8297,80.89,,,,,,,,,,,,539.07,28693278427.0,5.0,543.8,148.0
ZION,,,,,,,,,,6.6,0.129,1.19,0.129,2.52,0.36200000000000004,5.24,0.057,2.56,0.10300000000000001,15.6,55.4,8927101668.0,52.0,53.42,45314.0
ZTS,,,,,,,,,,,,,,,,,,,,,196.27,92314697471.0,14.0,,
